교통약자이동지원센터명,소재지도로명주소,소재지지번주소,위도,경도,보유차량대수,보유차량종류,슬로프형휠체어차량대수,리프트형휠체어차량대수,예약접수전화번호,예약접수인터넷주소,앱서비스명,평일예약접수운영시작시각,평일예약접수운영종료시각,주말예약접수운영시작시각,주말예약접수운영종료시각,차량평일운행시작시각,차량평일운행종료시각,차량주말운행시작시각,차량주말운행종료시각,사전예약신청기간,차량이용제한사항,차량관내운행지역,차량관외운행지역,차량이용대상,차량이용요금,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
청송군 교통약자이동지원센터,경상북도 청송군 청송읍 중앙로 299,경상북도 청송군 청송읍 월막리 290-3,36.4351157099,129.0614923755,2,카니발,2,0,1899-7770,http://www.brmcall.co.kr,,09:00,18:00,00:00,00:00,09:00,18:00,00:00,00:00,연중,,,,1~2급 장애인으로서 대중교통 이용이 어려운 사람 + 일시적 휠체어 이용자 + 서비스 대상자와 동승하는 최소 필요 보호자,"1,000원/10km(기본) + 200원/1km(추가)",청송군,054-870-6254,2020-07-10,5160000,경상북도 청송군
서천군 교통약자 이동지원센터,"충청남도 서천군 서천읍 충절로81번길 7, 청림주상복합빌딩 1층7호",충청남도 서천군 서천읍 군사리 649-2,36.0748458948,126.6914381879,5,카니발,0,5,041-951-0774,없음,,09:00,18:00,00:00,00:00,09:00,18:00,00:00,00:00,실시간,,서천군 전역,"관외: 충청남도 및 인접시도(서울,인천,대전,세종,경기,충북,전북)",.「장애인복지법 시행규칙」제2조제1항에 따른 제1급 또는 제2급 장애인으로서 버스 등의 이용이 어려운 자· 65세 이상의 사람으로서 버스 등의 이용이 어려운 사람· 교통약자를 동반하는 가족 및 보호자· 임산부 등 대중교통 이용이 어려운 사람,"1,000원(1.5km이하)일반택시 요금의 50/100",(사)한국지체장애인충남협회서천군지회,041-951-0774,2020-07-10,4580000,충청남도 서천군
군산시 교통약자 이동지원센터,전라북도 군산시 소룡2길 51,전라북도 군산시 소룡동 1554-2,35.972906,126.6773154170,19,그랜드 카니발,19,0,063-227-0002,0632270002.com,전라북도 광역이동지원센터 승객용 앱,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,이용일 기준 8일전부터 신청 전일 17시까지,,군산시 전역,전라북도 도내,장애인 및 휠체어 이용자 등 교통약자,"기본 700원, 추가1km 당 100원",전라북도 군산시,063-454-3783,2020-07-14,4670000,전라북도 군산시
포항시교통약자이동지원센터,경상북도 포항시 남구 희망대로 810,경상북도 포항시 남구 대도동 313-1,36.0083981310,129.3628911843,30,카니발,30,0,1800-6300,http://phhpcall.phsisul.org,포항시 교통약자 이동지원센터,07:00,22:00,07:00,16:00,00:00,00:00,00:00,00:00,5일전부터 1일전까지,"이용목적에 맞게 이용하여야 함+차량 내에서는 금주, 금연이며, 적재할 수 있는 화물은 휴대 가능한 범위로 제한+이용시간 기준 5분 이내 승차하지 않을 시 회차하여 다음 접수자에게 배차함",포항시 전지역,경상북도+대구,"장애인복지법 시행규칙 제28조제1항에 따른 보행상의 장애인으로서 장애의 정도가 심한 장애인으로 대중교통이 어려운 사람(단 시각장애인은 함께 오는 가족이 있을 때 이용가능)+65세 이상으로 대중교통 이용이 어려운 사람+일시적으로 휠체어를 이용하는 사람으로서 대중교통 이용이 어려운 사람+교통약자와 함께 오는 가족 및 보호자(복합장애인 및 65세 이상, 일시적 이용자는 의사 소견서로 확인승인)+기타 시장이 특별교통수단이 필요하다고 인정하는 사람","포항시내 기본 5km 1100원 추가요금 200원/km 한도 5000원+포항시외 시외버스요금의 2배(편도기준)+대기료 500원/30분(기본대기 시내 30분, 시외 2시간)+도로비용 및 주차요금은 이용자 부담",포항시시설관리공단,054-280-9600,2020-03-24,B552865,포항시시설관리공단
경산교통㈜,경상북도 경산시 화랑로 13,,35.81721212,128.7682776,16,스타렉스,16,0,053-1899-7770,www.brmcall.co.kr,,9:00,18:00,9:00,17:00,7:30,23:00,7:30,23:00,2일전,,경산시 관내,경상북도 및 대구,조례로 정한 경산시민,2200,경산시청,053-810-5235,2019-09-05,5130000,경상북도 경산시
양평군교통약자이동지원센터,경기도 양평군 양평읍 마유산로 9,경기도 양평군 양평읍 양근리 540-1,37.4977618855,127.4871468727,23,장애인카니발,20,0,1899-8268,http://ypcall.or.kr,인터넷예약시스템,09:00,18:00,09:00,18:00,08:00,21:00,08:00,21:00,이용2일전,"관내 1일 4건까지 이용 가능, 관외 1달 2건(왕복)까지 이용 가능",양평군 전지역,"경기도 전역, 서울특별시, 강원도(홍천군, 회성군, 원주시)","장애정도가 심한장애인, 일시장애, 고령자, 임산부 등","기본요금 1,500원/10km, 추가요금 100원/5km",양평군 교통과,031-770-3762,2020-03-02,4170000,경기도 양평군
광양시 교통약자이동지원센터,전라남도 광양시 광양읍 남등1길 72-4,,34.9754338,127.5782601,10,카니발+스타렉스,8,2,1899-1100,해당없음,즉시콜,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,1일,,전라남도 전지역,전라남도 전지역,"장애의 정도가 심한 보행상의 장애인, 노약자, 임산부 등",기본 500원(2km)+거리요금100원(1km)* 상한액: 시내·시외버스 요금,광양시,061-797-2865,2020-02-12,4840000,전라남도 광양시
익산시장애인콜택시콜센터,전라북도 익산시 번영로1길 20,전라북도 익산시 목천동 916-4,35.9191940028,126.9188748302,21,승합,21,0,063-853-1334,https://,,09:00,18:00,09:00,18:00,08:00,22:00,08:00,18:00,1일,,전지역,전라북도 전지역,1-2급등록장애인휠체어이용자+동반보호자,"기본운임(2km까지) 1,400원",익산시,063-859-5565,2020-03-04,4680000,전라북도 익산시
청주시교통약자이동지원센터,충청북도 청주시 흥덕구 무심서로841,충청북도 청주시 흥덕구 신봉동 500,36.66271754,127.4669836,51,"특장차(스타랙스,카니발)",0,51,1588-8488,http://www.cjsisul.or.kr/reserve/sub.do?menukey=239,X,07:00,22:00,07:00,22:00,00:00,00:00,00:00,00:00,"인터넷(3일전),전화(1일전)",심사를 거쳐 등록된 고객만 이용가능,청주시 전지역,"신탄진,조치원,증평,오송","장애정도가 심한 보행상 장애인(기존1~2급 장애인 포함),만65세이상,요양1~4등급,상이등급1~3등급","기본요금:10km당2000원,추가요금:1km당300원",청주시 교통정책과,043-201-2825,2020-06-30,5710000,충청북도 청주시
정읍시 행복콜택시,전라북도 정읍시 수성5로 41-11,전라북도 정읍시 수성동 1013-7,35.58500364,126.8606847,12,그랜드스타렉스+카니발+창림저상램프장애인차,11,1,063-536-9870,없음,없음,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,제한 없음,습관적으로 예약을 취소한 사람 등,전라북도 정읍시,전라북도+장성군+광주광역시,1~2급 장애인+3급 휠체어이용자,"2km 1,400원+148m 또는 35초당 30원+시계 외 할증 20",전라북도 정읍시,063-539-5922,2020-07-17,4690000,전라북도 정읍시
안산시 하모니콜,경기도 안산시 단원구 화랑로 260,경기도 안산시 단원구 초지동 666,37.3194760178,126.8164938939,61,카니발+스타렉스,60,1,1588-5410,없음,,09:00,18:00,09:00,18:00,00:00,24:00,00:00,24:00,1일전,,전구간,"수도권(서울,인천,경기)",장애의정도가 심한 보행상장애인+국가유공상이자+노약자(재활치료 및 진료목적)+어린이(만5세미만으로 전문병원 이상 의료기관에서 1개월 이상의 지속적인 치료 진단),"관내 : 1,200원(10km)+관외 : 기본 1,200원(10km) 추가 5km 마다 100원",안산도시공사,031-8058-7497,2020-05-31,3930000,경기도 안산시
교통약자이동지원센터,충청북도 옥천군 옥천읍 옥천동이로 36-11,충청북도 옥천군 옥천읍 장야리 224-3,36.29910067,127.580189,6,"스타렉스 1, 카니발 5",5,1,043-731-1026,없음,없음,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,0:00,"장애의 정도가 심한 장애인, 만65세 이상 교통약자",관내일원,"대전, 금산, 영동, 보은","장애의 정도가 심한 장애인, 만65세 이상 교통약자","기본요금(5km까지 1,700원), 추가요금(1km 당 200원)",옥천군청,043-730-3538,2020-05-31,4430000,충청북도 옥천군
